,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
12,900.0,1019.0,889.0,1009.0,"(36.515202, 103.620003, 1948.0)","(25.110313, 102.936743, 2093.0)","[(36.515202, 103.620003, 1948.0), (33.2495, 103.4059, 9053.64705882353), (32.0334, 104.6246, 10089.0), (31.2808, 104.6581, 10089.0), (30.6682, 104.2835, 10089.0), (29.9369, 104.1141, 10081.0), (27.7541, 103.4684, 8816.0), (25.110313, 102.936743, 2093.0)]","[524.2541916584263, 1036.6970286871358, 1013.656846951212, 959.5543163485793, 952.408699099175, 962.6167237411811, 468.54833106808286]"
13,900.0,1022.0,892.0,1024.0,"(31.198104, 121.33426, 2.0)","(23.392401, 113.299004, 8.0)","[(31.198104, 121.33426, 2.0), (29.4221, 119.3585, 5011.599999999999), (27.9193, 117.7616, 10057.6), (27.3427, 116.5806, 10394.0), (26.5784, 115.6613, 10401.0), (25.2013, 114.4973, 10401.0), (23.423, 113.3298, 2751.0), (23.392401, 113.299004, 8.0)]","[283.05596273387823, 666.0223696676153, 781.1254905098092, 805.7981453325269, 812.9607955132605, 719.5830104364912, 314.2612766796855]"
14,900.0,1032.0,895.0,1030.0,"(34.059056, 117.555278, 38.0)","(45.623402, 126.25, 136.0)","[(34.059056, 117.555278, 38.0), (36.9802, 119.0262, 5210.0), (39.0956, 120.5939, 10082.0), (40.0844, 123.3044, 10698.0), (41.352, 124.1806, 10696.75), (43.4213, 125.1445, 10061.0), (45.3654, 126.2343, 3551.0), (45.623402, 126.25, 136.0)]","[372.36781545097836, 951.4073918579588, 1110.3345082691028, 1028.541523240464, 955.2646663942776, 780.9995263997438, 322.981451383808]"
15,900.0,1042.0,896.0,1046.0,"(36.857201, 117.216003, 22.0)","(30.31252, 104.441284, 438.0)","[(36.857201, 117.216003, 22.0), (35.9397, 115.1205, 3688.45), (35.3221, 113.7796, 7054.900000000001), (34.7605, 111.666, 7803.0), (33.3131, 108.5832, 7803.0), (32.0071, 106.2019, 7018.0), (30.4089, 104.8186, 2598.0), (30.31252, 104.441284, 438.0)]","[269.08732618769346, 623.5268837824083, 734.3114102573116, 766.2261012294316, 780.6064894803776, 689.7148398510486, 295.46259893750573]"
16,900.0,1052.0,907.0,1059.0,"(31.1434, 121.805, 5.0)","(45.623402, 126.25, 136.0)","[(31.1434, 121.805, 5.0), (34.9363, 122.7943, 5053.282608695652), (37.924, 123.6525, 10027.673913043478), (39.6778, 123.1337, 10698.0), (40.9808, 124.0023, 10698.941176470587), (43.2288, 125.0453, 10706.0), (44.9834, 126.1993, 4915.0), (45.623402, 126.25, 136.0)]","[379.1627249614304, 955.7644064600149, 1116.1455489006187, 1046.6698685279332, 978.8185205081151, 849.8506990126684, 378.15817963045225]"
17,900.0,1061.0,909.0,1068.0,"(21.974648, 100.762224, 551.0)","(34.526497, 113.849165, 146.0)","[(21.974648, 100.762224, 551.0), (23.0679, 101.7468, 7609.333333333334), (23.1642, 101.6015, 10028.0), (25.8899, 102.96, 10698.0), (29.4001, 104.2838, 10698.0), (31.5009, 106.2401, 10005.0), (33.4603, 110.6042, 5090.206896551725), (34.526497, 113.849165, 146.0)]","[439.90834253023246, 942.3984577492665, 1041.070680702419, 1030.8913229355508, 1037.3690960599215, 956.4447973239419, 411.38645871618655]"
18,900.0,1066.0,897.0,1072.0,"(22.006399, 113.375999, 0.0)","(39.509945, 116.41092, 30.0)","[(22.006399, 113.375999, 0.0), (22.8959, 113.7318, 4801.0), (24.5967, 113.4268, 10089.0), (28.1029, 113.4534, 10089.0), (32.3719, 114.3485, 9960.692307692309), (39.1644, 116.273, 10089.0), (39.5092, 116.4106, 5209.5), (39.509945, 116.41092, 30.0)]","[326.1147432914609, 743.6635267580979, 835.0975669332737, 842.248177767486, 657.474177777581, 405.032725439097, 172.2579419623654]"
19,900.0,1068.0,903.0,1083.0,"(36.361953, 120.088171, 7.0)","(30.31252, 104.441284, 438.0)","[(36.361953, 120.088171, 7.0), (35.8848, 113.7454, 7193.0), (33.2083, 108.9785, 9017.605263157897), (32.5111, 107.0076, 9174.0), (32.2594, 106.602, 9174.0), (32.0272, 106.2342, 9121.0), (30.4071, 104.8031, 2598.0), (30.31252, 104.441284, 438.0)]","[381.79090244934207, 772.0375446816857, 782.8684922689012, 787.0488580043175, 787.9514369699187, 692.2780666161829, 298.7536376140242]"
20,900.0,1070.0,903.0,1077.0,"(39.12440109, 117.3460007, 6.0)","(23.392401, 113.299004, 8.0)","[(39.12440109, 117.3460007, 6.0), (35.4476, 116.3934, 5669.454545454545), (31.5895, 115.317, 9120.363636363636), (29.6797, 113.7966, 9784.0), (27.3507, 113.7173, 9799.0), (24.7172, 113.5597, 9085.0), (23.2734, 113.1599, 2355.0), (23.392401, 113.299004, 8.0)]","[372.2726538045438, 794.8006707148835, 873.7966099174878, 936.1190407999449, 889.1713777252713, 648.7332458280238, 244.4123158955492]"
21,900.0,1077.0,896.0,1081.0,"(39.12440109, 117.3460007, 6.0)","(26.541466, 106.803331, 1127.0)","[(39.12440109, 117.3460007, 6.0), (35.6321, 114.018, 4729.066666666667), (32.717, 111.5116, 9152.133333333331), (32.7668, 108.0902, 9784.0), (31.01, 107.2228, 9784.0), (28.9048, 106.9316, 9386.047619047618), (27.6574, 106.8619, 5406.523809523809), (26.541466, 106.803331, 1127.0)]","[374.92733493206674, 916.9154849085257, 1073.3642214066986, 1061.9377040589009, 931.0287927271147, 701.7665810215793, 301.29942092312564]"
