,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
12,600.0,710.0,607.0,715.0,"(23.392401, 113.299004, 8.0)","(32.070801, 120.975998, 5.0)","[(23.392401, 113.299004, 8.0), (24.0162, 114.629, 7140.0), (24.7569, 115.5263, 10097.0), (26.3558, 117.7348, 10089.0), (27.1822, 119.3829, 10089.0), (28.7544, 120.5431, 10028.0), (31.0458, 121.331, 5395.0), (32.070801, 120.975998, 5.0)]","[459.56774635118126, 957.9960006658814, 1005.3044451432089, 986.5254199999999, 980.8054292531643, 808.4675243714714, 356.50292088271783]"
13,600.0,711.0,622.0,734.0,"(22.639299, 113.810997, -1.0)","(32.070801, 120.975998, 5.0)","[(22.639299, 113.810997, -1.0), (23.1164, 113.9566, 4542.0), (23.9994, 114.6149, 9007.0), (25.6971, 117.1933, 9479.0), (27.0601, 119.1142, 9479.0), (29.2723, 120.7742, 9008.1), (31.1301, 121.3406, 4511.0), (32.070801, 120.975998, 5.0)]","[356.98312923520666, 801.0544504376836, 887.3580640989424, 927.3715577055259, 890.8102086453927, 743.3094871152413, 336.58409327890917]"
14,600.0,722.0,599.0,723.0,"(31.198104, 121.33426, 2.0)","(23.392401, 113.299004, 8.0)","[(31.198104, 121.33426, 2.0), (28.581, 118.4567, 4585.0344827586205), (27.2462, 116.467, 9174.0), (26.247, 115.4474, 8162.733333333334), (24.7804, 114.3282, 9174.0), (23.152, 113.3496, 1806.0), (23.392401, 113.299004, 8.0)]","[372.9130127151231, 910.4678215531032, 1017.1218545548899, 914.5439750054132, 751.5736265182343, 316.59669722973064]"
15,600.0,724.0,614.0,737.0,"(23.392401, 113.299004, 8.0)","(27.9891, 102.183998, 1548.0)","[(23.392401, 113.299004, 8.0), (23.8407, 112.7522, 5928.0), (24.0862, 112.2311, 8054.0), (25.1029, 110.357, 8428.0), (26.0732, 107.7961, 8428.0), (28.0902, 104.7789, 8024.0), (28.304, 103.4236, 7369.0), (27.9891, 102.183998, 1548.0)]","[333.4993487822601, 699.09605272901, 745.5811478485776, 750.0667373639843, 722.3703379504595, 695.1817411235844, 342.8936966352815]"
16,600.0,732.0,609.0,744.0,"(30.31252, 104.441284, 438.0)","(27.912201, 120.851997, 5.0)","[(30.31252, 104.441284, 438.0), (30.7555, 104.9751, 5304.0), (30.9583, 106.0447, 8062.0), (29.9928, 110.5799, 8870.0), (28.0826, 114.6161, 8870.0), (28.2715, 118.7155, 8258.214285714286), (28.1124, 119.6876, 4587.5), (27.912201, 120.851997, 5.0)]","[425.65705731423185, 905.6343667124976, 1009.2880936400638, 981.214598, 905.369360903942, 599.3577921398593, 250.54839111331245]"
17,600.0,734.0,610.0,735.0,"(23.392401, 113.299004, 8.0)","(31.428101, 104.740997, 515.0)","[(23.392401, 113.299004, 8.0), (24.0854, 112.7806, 6439.0), (24.4258, 112.2806, 9197.0), (24.795, 111.614, 9670.0), (25.916, 110.5325, 9338.947368421052), (26.8784, 109.5811, 9007.894736842103), (29.9748, 103.8766, 5090.0), (31.428101, 104.740997, 515.0)]","[393.3497534941087, 810.9343259238734, 836.1012532801316, 842.1844871830089, 852.4867381475589, 797.0017579527675, 368.18282613785055]"
18,600.0,737.0,610.0,748.0,"(23.392401, 113.299004, 8.0)","(36.857201, 117.216003, 22.0)","[(23.392401, 113.299004, 8.0), (23.7725, 114.4283, 6302.0), (24.7136, 114.8632, 9053.0), (27.6061, 115.7079, 9479.0), (30.0037, 116.3048, 9479.0), (34.1895, 116.8439, 9479.0), (35.0748, 116.9647, 5252.692307692308), (36.857201, 117.216003, 22.0)]","[539.1135595486544, 1113.8709908030048, 1184.0448632235941, 1202.4224405484931, 909.149835856512, 570.4473920429733, 254.43256476571037]"
19,600.0,748.0,601.0,753.0,"(30.23609, 120.428865, 7.0)","(32.390254, 105.694571, 622.0)","[(30.23609, 120.428865, 7.0), (31.0175, 116.2921, 4628.951219512195), (33.8956, 113.7897, 9167.0), (33.8605, 111.4733, 9176.24), (33.214, 108.7796, 9182.0), (32.8632, 107.4257, 5248.666666666667), (32.390254, 105.694571, 622.0)]","[425.79324839574605, 1022.6636624306939, 1133.9978620287695, 931.0947373227626, 708.4011571773924, 314.43386784845154]"
20,600.0,760.0,608.0,766.0,"(34.526497, 113.849165, 146.0)","(26.68, 100.246002, 2237.0)","[(34.526497, 113.849165, 146.0), (34.0193, 112.8132, 6614.0), (32.4751, 109.3671, 10033.888888888889), (31.7388, 105.7815, 10996.0), (30.2843, 104.166, 10988.0), (28.6609, 102.8523, 10036.0), (27.7795, 101.8194, 7009.619047619048), (26.68, 100.246002, 2237.0)]","[365.5502126333792, 741.3769372685001, 739.6152494967729, 781.3085267609816, 811.2572188803429, 711.9750174476247, 318.2378004666113]"
21,600.0,768.0,596.0,758.0,"(31.1434, 121.805, 5.0)","(21.5394, 109.293999, 21.0)","[(31.1434, 121.805, 5.0), (29.0496, 118.7448, 5013.2), (27.8812, 117.1374, 10057.7), (25.3206, 114.6597, 10401.0), (23.5753, 113.8898, 10394.0), (22.0474, 113.0229, 10089.0), (21.6184, 111.4644, 7122.818181818182), (21.5394, 109.293999, 21.0)]","[341.21517652759974, 815.2722475973997, 1049.1627879408209, 1122.7731838913257, 1078.8719841301788, 1013.5099194298382, 482.30540231996366]"
22,600.0,777.0,598.0,778.0,"(31.198104, 121.33426, 2.0)","(30.31252, 104.441284, 438.0)","[(31.198104, 121.33426, 2.0), (31.1928, 117.5065, 5218.615384615385), (31.1224, 114.8452, 10135.23076923077), (30.5985, 113.5632, 10394.681818181818), (30.571, 110.2666, 10401.84090909091), (30.4855, 107.545, 10409.0), (30.226, 104.7199, 2606.0), (30.31252, 104.441284, 438.0)]","[284.1216665493368, 672.1566617767631, 791.6549001065601, 807.2398097582676, 807.2398097582676, 733.3945640034386, 329.77465912430483]"
23,600.0,790.0,613.0,793.0,"(40.08010101, 116.5849991, 40.0)","(22.006399, 113.375999, 0.0)","[(40.08010101, 116.5849991, 40.0), (35.963, 115.7326, 5261.384615384615), (31.9339, 114.9819, 10182.76923076923), (29.692, 113.7997, 11003.0), (27.6983, 113.6722, 11003.0), (25.1495, 113.8295, 11003.0), (22.8985, 113.6694, 7170.0), (22.006399, 113.375999, 0.0)]","[345.59661052754757, 824.9481826286948, 1004.8725178127513, 1115.5553845402724, 1190.236230410916, 1146.6150073068509, 546.4132157246034]"
24,600.0,805.0,606.0,820.0,"(22.639299, 113.810997, -1.0)","(41.639801, 123.483002, 55.0)","[(22.639299, 113.810997, -1.0), (23.114, 113.584, 4968.0), (24.3294, 113.4197, 9037.0), (28.9108, 113.5332, 9479.0), (35.0134, 117.2699, 9490.154929577464), (40.0195, 121.8244, 9495.0), (41.0214, 122.8377, 4562.25), (41.639801, 123.483002, 55.0)]","[309.9164302822858, 692.9857235499841, 774.0044857811401, 770.2705528861728, 682.8737783750346, 591.2123596945177, 287.67394169221404]"
25,605.0,659.0,604.0,658.0,"(25.110313, 102.936743, 2093.0)","(24.4011, 98.5317, 880.0)","[(25.110313, 102.936743, 2093.0), (25.0096, 102.7072, 3787.0), (25.0712, 102.315, 6119.0), (25.0337, 101.6258, 6614.0), (24.6117, 99.4871, 6259.2), (24.4014, 98.5322, 3719.6), (24.4011, 98.5317, 880.0)]","[236.67974989286355, 522.9343122632864, 626.8814997162332, 594.6064946471888, 439.3228954020953, 185.34333810071672]"
