,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
0,600.0,652.0,585.0,652.0,"(24.7964, 118.589996, 8.0)","(23.392401, 113.299004, 8.0)","[(24.7964, 118.589996, 8.0), (24.7311, 118.4086, 5144.0), (24.3783, 118.0138, 7056.0), (23.9278, 117.4964, 7803.0), (23.6102, 116.6367, 7803.0), (23.4631, 115.2629, 7269.0), (23.2871, 113.8786, 2812.0), (23.392401, 113.299004, 8.0)]","[254.03894759159266, 595.4732182613427, 688.0530096576956, 691.7562013135498, 682.1279030083291, 575.4759833197304, 238.48554263700538]"
1,600.0,655.0,592.0,650.0,"(26.54, 101.79852, 1968.0)","(30.558257, 103.945966, 490.0)","[(26.54, 101.79852, 1968.0), (27.2553, 102.1665, 4255.333333333333), (26.9176, 102.96, 8230.0), (27.5713, 103.8832, 8870.0), (28.5469, 104.3016, 8070.0), (30.0765, 104.0174, 2652.0), (30.558257, 103.945966, 490.0)]","[322.3408231183625, 930.3370333250468, 1227.3279429765441, 1141.7962727271292, 796.5780855758762, 274.1135456186068]"
2,600.0,673.0,593.0,664.0,"(25.649401, 100.319, 2151.0)","(30.31252, 104.441284, 438.0)","[(25.649401, 100.319, 2151.0), (26.7203, 101.2256, 5094.117647058823), (27.4997, 101.899, 8114.823529411764), (27.983, 102.9521, 8862.0), (28.2729, 103.6061, 8854.0), (28.6228, 104.0614, 8131.0), (29.9766, 104.5765, 2050.0), (30.31252, 104.441284, 438.0)]","[344.512721228923, 859.2058715411385, 1074.7696333158808, 1115.4225903062863, 1060.5502321741706, 723.7474822598041, 218.54335738825458]"
3,600.0,678.0,605.0,682.0,"(24.54400063, 118.1279984, 12.0)","(31.198104, 121.33426, 2.0)","[(24.54400063, 118.1279984, 12.0), (24.7929, 118.4764, 3368.0), (25.3051, 118.8944, 6005.0), (26.6706, 119.864, 6888.0), (28.7884, 120.7797, 6289.272727272727), (30.2093, 121.1046, 3295.6363636363635), (31.198104, 121.33426, 2.0)]","[362.78889682339405, 818.9959345788121, 914.228019994953, 892.2524171388128, 726.8408270458084, 292.60939214653047]"
4,600.0,689.0,590.0,690.0,"(30.774798, 114.213723, 37.0)","(24.54400063, 118.1279984, 12.0)","[(30.774798, 114.213723, 37.0), (30.8086, 114.2331, 411.0), (30.9401, 114.933, 6515.0), (28.9268, 116.0623, 6386.2), (26.1206, 117.9567, 6035.0), (25.0035, 117.9737, 3528.0), (24.54400063, 118.1279984, 12.0)]","[127.93857639070814, 358.75559565229497, 542.0462915192579, 619.205123672417, 582.9778429349793, 275.0019915202335]"
5,600.0,694.0,596.0,686.0,"(38.322758, 106.393214, 1139.0)","(40.08010101, 116.5849991, 40.0)","[(38.322758, 106.393214, 1139.0), (38.8177, 108.7549, 4618.047619047619), (40.6418, 110.685, 8115.0), (40.6351, 111.269, 8100.0), (40.6243, 111.8932, 8108.0), (40.3404, 114.5509, 4357.931034482758), (40.08010101, 116.5849991, 40.0)]","[408.6809534737247, 1060.1631000254583, 1002.61882, 1001.81415, 1067.83657358309, 417.3967984658389]"
6,600.0,700.0,591.0,691.0,"(29.712254, 106.651895, 417.0)","(22.006399, 113.375999, 0.0)","[(29.712254, 106.651895, 417.0), (27.4614, 108.7369, 5269.114285714285), (24.5331, 110.7956, 10089.0), (24.5331, 110.7956, 10089.0), (24.5331, 110.7956, 10089.0), (24.5331, 110.7956, 10089.0), (22.968, 113.2081, 4237.0), (22.006399, 113.375999, 0.0)]","[405.5878932715466, 1026.0795596543023, 1240.9833327655115, 1240.9833327655115, 1240.9833327655115, 1096.3149661043226, 475.8232997215668]"
7,600.0,701.0,586.0,687.0,"(29.030357, 105.468407, 328.0)","(23.392401, 113.299004, 8.0)","[(29.030357, 105.468407, 328.0), (28.4733, 105.9952, 3806.0), (28.4508, 105.6297, 6218.0), (26.8417, 108.0545, 6888.0), (25.3066, 110.4601, 6192.923076923077), (23.0701, 112.7567, 2370.0), (23.392401, 113.299004, 8.0)]","[369.235703986793, 823.2522647757825, 874.6600986633714, 777.0513900502939, 679.1684404145299, 322.7605882386181]"
8,600.0,706.0,603.0,712.0,"(23.392401, 113.299004, 8.0)","(29.712254, 106.651895, 417.0)","[(23.392401, 113.299004, 8.0), (23.8514, 112.794, 5075.0), (24.0865, 112.4365, 7178.0), (24.3638, 111.7588, 7193.0), (24.6211, 111.3257, 7070.811320754717), (27.2164, 109.0124, 3893.905660377359), (29.712254, 106.651895, 417.0)]","[458.7375837437265, 955.0392872481053, 1008.53970024055, 1024.7060063100641, 853.3405140600312, 340.8725044861379]"
9,600.0,712.0,592.0,717.0,"(26.541466, 106.803331, 1127.0)","(30.23609, 120.428865, 7.0)","[(26.541466, 106.803331, 1127.0), (27.7397, 110.6314, 5126.567567567568), (28.5349, 113.4282, 9043.756756756757), (30.7029, 114.2441, 9479.0), (30.9874, 115.0022, 9007.0), (30.6299, 118.0476, 4977.727272727272), (30.23609, 120.428865, 7.0)]","[448.6752723341748, 1134.5315706792553, 1405.4977978926677, 1476.4417684349805, 1254.313677792534, 497.51340890514047]"
