,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
0,900.0,957.0,903.0,958.0,"(22.639299, 113.810997, -1.0)","(19.9349, 110.459, 22.0)","[(22.639299, 113.810997, -1.0), (22.5741, 113.5773, 3482.0), (21.9961, 112.8779, 7117.0), (21.8909, 112.4023, 7193.0), (21.7023, 111.9289, 7193.0), (20.7519, 111.1329, 3757.5), (19.9349, 110.459, 22.0)]","[356.8262535650126, 718.0469191197423, 776.0531573840053, 837.574925240042, 709.380239368577, 286.6378059578107]"
1,900.0,973.0,885.0,956.0,"(29.712254, 106.651895, 417.0)","(35.802638, 107.598896, 1406.0)","[(29.712254, 106.651895, 417.0), (30.441, 106.7485, 3673.4), (30.6338, 107.3242, 8108.0), (32.6739, 107.5143, 8108.0), (34.7058, 108.7222, 8108.0), (35.2525, 108.1678, 5153.2307692307695), (35.802638, 107.598896, 1406.0)]","[314.8173836173931, 834.8831118105953, 1008.7513622504188, 939.60967584323, 758.5509731981335, 307.6269314121201]"
2,900.0,979.0,937.0,1014.0,"(22.639299, 113.810997, -1.0)","(27.912201, 120.851997, 5.0)","[(22.639299, 113.810997, -1.0), (23.1855, 113.9306, 5677.0), (24.277, 114.8487, 9091.0), (24.7463, 115.5118, 9479.0), (25.5439, 116.6582, 9479.0), (26.3303, 117.7016, 9479.0), (27.1865, 119.3928, 5677.0), (27.912201, 120.851997, 5.0)]","[419.4880277175139, 906.8600101279035, 979.0955003780148, 988.6688786039332, 999.1125639412987, 922.5255381339517, 420.35833482896106]"
3,900.0,988.0,894.0,974.0,"(28.189199, 113.220001, 66.0)","(31.1434, 121.805, 5.0)","[(28.189199, 113.220001, 66.0), (27.9158, 113.6626, 5075.0), (28.274, 115.3881, 8070.0), (28.5163, 116.413, 8092.0), (29.1482, 118.1796, 8108.0), (30.0595, 119.79, 4376.130434782609), (31.1434, 121.805, 5.0)]","[456.95612428200957, 1018.9928762997554, 1149.138607899062, 981.6974, 981.1302621582663, 392.10032136436786]"
4,900.0,1004.0,920.0,1018.0,"(29.712254, 106.651895, 417.0)","(39.49, 109.8613889, 1391.0)","[(29.712254, 106.651895, 417.0), (31.8319, 107.6323, 7665.3), (33.5454, 108.0944, 9090.35), (34.7313, 108.9624, 9251.0), (37.5954, 109.499, 9089.6), (38.9622, 109.7585, 5585.0), (39.49, 109.8613889, 1391.0)]","[523.8547641220321, 1020.9568502663357, 1023.1061140362167, 894.4830954610212, 643.8005886939322, 275.3215211248239]"
5,900.0,1006.0,917.0,1014.0,"(23.392401, 113.299004, 8.0)","(31.1434, 121.805, 5.0)","[(23.392401, 113.299004, 8.0), (24.165, 114.7513, 7102.0), (25.6114, 116.082, 10246.666666666666), (27.5079, 117.2567, 11304.0), (29.8574, 120.123, 10098.777777777776), (30.7201, 121.2355, 5201.888888888889), (31.1434, 121.805, 5.0)]","[522.3163690677741, 1083.7503544807098, 1128.960058617331, 952.0623142015355, 656.4633544821235, 271.92711348498324]"
6,900.0,1007.0,939.0,1045.0,"(22.639299, 113.810997, -1.0)","(31.1434, 121.805, 5.0)","[(22.639299, 113.810997, -1.0), (24.3156, 114.8975, 8870.0), (26.9013, 118.7635, 10036.0), (27.2672, 119.5699, 10089.0), (27.7297, 120.2475, 10081.0), (28.5938, 120.7115, 10028.0), (30.2632, 121.3428, 5670.894736842105), (31.1434, 121.805, 5.0)]","[503.6582826181345, 1038.4172482109736, 996.98613, 1026.322538165255, 939.0678442640003, 766.3509348431397, 317.9827552911469]"
7,900.0,1010.0,910.0,1011.0,"(29.712254, 106.651895, 417.0)","(30.23609, 120.428865, 7.0)","[(29.712254, 106.651895, 417.0), (30.0183, 110.6765, 5291.625), (30.1338, 112.9954, 10282.125), (30.975, 115.3542, 10698.0), (30.6055, 118.0438, 10698.0), (30.407, 119.337, 5502.5), (30.23609, 120.428865, 7.0)]","[520.0752102336962, 1339.067622537244, 1598.308344541043, 1302.0135138504781, 907.2160513512281, 384.5184697382453]"
8,900.0,1016.0,899.0,1011.0,"(23.392401, 113.299004, 8.0)","(30.31252, 104.441284, 438.0)","[(23.392401, 113.299004, 8.0), (23.8997, 112.8899, 4915.0), (23.9947, 112.4424, 7117.0), (25.3811, 110.4535, 7193.0), (27.3478, 108.1625, 7193.0), (28.8852, 104.8383, 7041.0), (29.7804, 104.3889, 2111.0), (30.31252, 104.441284, 438.0)]","[341.3843432850049, 701.6887827038777, 753.6939674111791, 791.5943508649183, 783.1876485530512, 646.5737200530456, 261.5908943726062]"
9,900.0,1022.0,898.0,1018.0,"(31.198104, 121.33426, 2.0)","(23.392401, 113.299004, 8.0)","[(31.198104, 121.33426, 2.0), (28.9984, 118.9015, 5477.333333333334), (27.829, 117.1546, 10138.5), (26.6109, 115.6725, 10828.0), (25.0099, 114.3875, 11003.0), (23.2479, 113.3756, 1646.0), (23.392401, 113.299004, 8.0)]","[351.6048469096495, 838.7747145612061, 985.074853058289, 935.5817776935168, 750.5287954376265, 312.85200315084217]"
10,900.0,1027.0,912.0,1022.0,"(22.639299, 113.810997, -1.0)","(29.030357, 105.468407, 328.0)","[(22.639299, 113.810997, -1.0), (23.2032, 113.597, 5075.0), (23.7439, 112.9139, 8207.0), (24.6077, 111.5897, 8412.648648648648), (26.1369, 109.4559, 8416.324324324325), (27.6879, 107.1848, 8420.0), (28.2799, 106.286, 4783.733333333334), (29.030357, 105.468407, 328.0)]","[457.9657381235144, 948.7213858978773, 970.7701200644015, 862.0003858979468, 665.9432685336857, 527.5500092177364, 243.5926542919589]"
11,900.0,1031.0,901.0,1032.0,"(34.447102, 108.751999, 486.0)","(26.68, 100.246002, 2237.0)","[(34.447102, 108.751999, 486.0), (33.4296, 107.516, 5206.705882352941), (31.831, 107.6072, 10180.0), (31.3115, 107.2589, 10386.0), (30.4944, 106.8799, 10394.0), (28.9583, 106.4257, 10272.0), (27.001, 103.8331, 9178.0), (26.68, 100.246002, 2237.0)]","[343.70539260163224, 841.1686934758719, 977.0473710616673, 968.6336154443442, 938.133751331547, 905.5304483144193, 456.44624223978866]"
12,900.0,1033.0,909.0,1031.0,"(30.558257, 103.945966, 490.0)","(23.552, 116.5033, 4.0)","[(30.558257, 103.945966, 490.0), (30.4082, 104.1527, 5502.0), (29.2504, 104.9548, 10028.0), (28.7242, 105.3487, 10081.0), (28.2093, 105.6934, 10097.0), (27.6209, 106.4898, 10010.129032258064), (22.9901, 112.9278, 8870.0), (23.552, 116.5033, 4.0)]","[401.83439961808347, 888.9596893082766, 997.9913425963341, 1026.1285434448653, 1028.964954820725, 1008.7413417108436, 495.0388774288424]"
13,900.0,1037.0,933.0,1075.0,"(23.392401, 113.299004, 8.0)","(36.857201, 117.216003, 22.0)","[(23.392401, 113.299004, 8.0), (24.7154, 114.8296, 8352.0), (26.7703, 115.3144, 9068.0), (28.2208, 115.752, 9479.0), (30.2098, 117.2117, 9784.0), (33.898, 117.214, 9333.42857142857), (35.337, 117.215, 4827.714285714286), (36.857201, 117.216003, 22.0)]","[568.4423299731607, 1128.4943672529905, 1147.3725258129848, 1104.8304429196824, 852.5810215068564, 590.820878907528, 255.74981178719912]"
