,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
0,660.0,747.0,656.0,748.0,"(22.639299, 113.810997, -1.0)","(26.541466, 106.803331, 1127.0)","[(22.639299, 113.810997, -1.0), (22.674, 113.9008, 3620.0), (23.479, 113.444, 7056.0), (24.4036, 112.1008, 7193.0), (25.514, 109.5164, 7193.0), (25.9352, 108.4218, 4447.285714285715), (26.541466, 106.803331, 1127.0)]","[423.5450781192991, 911.2636529233406, 964.2831847081158, 813.2054143799614, 597.6683009323032, 261.02749645641615]"
1,660.0,749.0,679.0,769.0,"(21.974648, 100.762224, 551.0)","(30.558257, 103.945966, 490.0)","[(21.974648, 100.762224, 551.0), (23.0183, 101.1216, 4616.5), (22.9053, 101.4865, 8382.0), (24.4988, 102.2392, 8862.0), (26.2098, 103.1332, 8870.0), (28.3206, 104.1565, 8252.666666666666), (30.0511, 104.0052, 1966.0), (30.558257, 103.945966, 490.0)]","[346.3066520397375, 849.4872113542965, 1045.7894460380946, 1092.727931048781, 1078.0205390787662, 759.7776107063117, 231.87611595279117]"
2,660.0,753.0,649.0,753.0,"(38.322758, 106.393214, 1139.0)","(40.08010101, 116.5849991, 40.0)","[(38.322758, 106.393214, 1139.0), (38.8454, 108.8951, 4623.714285714286), (39.1005, 110.2354, 8339.214285714286), (40.5554, 112.564, 8877.0), (40.2255, 115.4777, 8270.181818181818), (40.0801, 116.5846, 2808.818181818181), (40.08010101, 116.5849991, 40.0)]","[294.48281143871486, 724.7162066728433, 864.7676526082016, 749.591894075734, 566.8629448120441, 251.8053081103835]"
3,660.0,755.0,670.0,770.0,"(23.392401, 113.299004, 8.0)","(30.23609, 120.428865, 7.0)","[(23.392401, 113.299004, 8.0), (23.7125, 114.3781, 5768.0), (24.2533, 114.8167, 8108.0), (26.6361, 115.9489, 8870.0), (28.6883, 118.4777, 8299.133333333333), (29.4174, 119.3909, 4303.066666666667), (30.23609, 120.428865, 7.0)]","[401.9263064826067, 920.7944967584413, 1103.577609241974, 968.8069916408964, 650.0250792894113, 265.9275066146543]"
4,660.0,759.0,655.0,772.0,"(26.541466, 106.803331, 1127.0)","(30.23609, 120.428865, 7.0)","[(26.541466, 106.803331, 1127.0), (27.5793, 110.0951, 4616.857142857143), (28.2095, 112.2544, 8161.142857142858), (28.2523, 115.0097, 8870.0), (29.5134, 118.7142, 8162.833333333333), (29.9061, 119.6478, 4592.0), (30.23609, 120.428865, 7.0)]","[415.6919522651119, 1047.880526496436, 1310.0017324036512, 1143.9415538554013, 815.2133305925463, 349.0849349094722]"
5,660.0,760.0,662.0,755.0,"(23.392401, 113.299004, 8.0)","(31.98779, 116.9769, 63.0)","[(23.392401, 113.299004, 8.0), (23.6523, 114.3151, 5136.0), (24.1075, 114.704, 7018.0), (27.4224, 115.5763, 7498.0), (29.1356, 116.2761, 7041.0), (30.9602, 116.7267, 3702.0), (31.98779, 116.9769, 63.0)]","[433.31483434054576, 906.8973098521321, 969.9249221198479, 966.4233881049748, 781.6704537960461, 311.5895122993328]"
6,660.0,760.0,754.0,851.0,"(25.110313, 102.936743, 2093.0)","(22.639299, 113.810997, -1.0)","[(25.110313, 102.936743, 2093.0), (24.7729, 103.0825, 4374.0), (24.3233, 103.9576, 8245.0), (24.0166, 105.98, 8870.0), (23.6955, 108.0367, 8870.0), (23.3988, 109.791, 8075.5), (22.7724, 113.48, 3193.0), (22.639299, 113.810997, -1.0)]","[357.0047985751929, 846.7421504668038, 967.3766201724613, 926.4806442857814, 868.8848597339414, 662.6236673762572, 242.58018364724646]"
7,660.0,763.0,646.0,747.0,"(29.298001, 90.911951, 3570.0)","(30.31252, 104.441284, 438.0)","[(29.298001, 90.911951, 3570.0), (29.8313, 95.8266, 6986.950000000001), (30.1189, 99.6686, 10103.9), (30.1423, 100.0678, 10432.0), (30.2618, 102.0561, 10173.0), (30.4546, 103.8033, 3901.0), (30.31252, 104.441284, 438.0)]","[510.747262144899, 1299.3678480952376, 1606.4909954591444, 993.7837645194568, 1357.3003718280197, 530.1330205962237]"
8,660.0,765.0,651.0,746.0,"(36.528295, 102.040157, 2175.0)","(34.526497, 113.849165, 146.0)","[(36.528295, 102.040157, 2175.0), (36.0772, 105.4393, 4758.181818181818), (35.7747, 107.3767, 7041.363636363636), (33.9824, 109.3983, 7498.0), (34.1625, 110.7417, 7498.0), (34.4625, 113.6734, 1752.25), (34.526497, 113.849165, 146.0)]","[423.60117337926744, 1045.0193103450906, 1254.1623331011915, 1202.1126728059073, 878.4913041301083, 309.1228274595693]"
9,660.0,766.0,641.0,757.0,"(29.82670021, 121.461998, 6.0)","(34.526497, 113.849165, 146.0)","[(29.82670021, 121.461998, 6.0), (30.4638, 120.512, 3574.5), (30.9118, 121.373, 7186.0), (32.3325, 118.9686, 7803.0), (33.4617, 116.4154, 7347.083333333333), (34.4738, 113.6352, 1638.0), (34.526497, 113.849165, 146.0)]","[291.2490512913465, 699.4753059935233, 784.914153187963, 673.7513860828176, 506.0050975306186, 208.94160993358727]"
