,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
0,960.0,1020.0,947.0,1009.0,"(25.110313, 102.936743, 2093.0)","(30.31252, 104.441284, 438.0)","[(25.110313, 102.936743, 2093.0), (25.4394, 102.8732, 4161), (26.0178, 103.0054, 8070), (26.8508, 103.4906, 8870), (27.6915, 103.9466, 8870), (28.4348, 104.3076, 8153), (29.814, 104.5175, 2156), (30.31252, 104.441284, 438.0)]","[257.2854868752339, 684.0404561233765, 882.7819399970602, 910.5133098398999, 846.5770960355752, 643.213717188085, 251.12296024349186]"
1,960.0,1030.0,1033.0,1135.0,"(30.774798, 114.213723, 37.0)","(22.639299, 113.810997, -1.0)","[(30.774798, 114.213723, 37.0), (30.9467, 114.0886, 2408.0), (29.9407, 113.8017, 7308.0), (28.2739, 113.721, 7803.0), (27.2723, 113.6589, 7803.0), (25.6201, 113.9262, 7113.181818181818), (22.8664, 113.4801, 2804.0), (22.639299, 113.810997, -1.0)]","[227.14511578063704, 556.3520572329792, 652.2748257214239, 643.8336220944407, 677.3193885485888, 609.0223773848161, 252.4687266615864]"
2,960.0,1038.0,971.0,1052.0,"(24.54400063, 118.1279984, 12.0)","(31.198104, 121.33426, 2.0)","[(24.54400063, 118.1279984, 12.0), (24.8508, 118.5588, 4054.0), (25.3927, 119.0838, 6119.0), (26.3595, 119.6459, 6888.0), (27.4715, 120.431, 6888.0), (29.5191, 120.8862, 6089.333333333333), (30.8344, 121.2375, 2495.333333333334), (31.198104, 121.33426, 2.0)]","[326.1277053438324, 683.2773143667123, 746.9119885801431, 746.9119885801431, 727.8215863161138, 633.9604418513036, 263.2884645580696]"
3,960.0,1040.0,961.0,1035.0,"(34.526497, 113.849165, 146.0)","(31.198104, 121.33426, 2.0)","[(34.526497, 113.849165, 146.0), (34.0294, 113.8025, 6309.0), (33.2294, 114.9531, 7148.0), (32.9263, 115.3586, 7498.0), (32.5266, 116.4067, 7001.724137931034), (31.9946, 118.4836, 3775.931034482759), (31.198104, 121.33426, 2.0)]","[573.9704358361411, 1157.6281364121323, 1242.391702885824, 1282.9217202396371, 1031.6954899905522, 407.50777206074804]"
4,960.0,1045.0,958.0,1045.0,"(30.774798, 114.213723, 37.0)","(34.447102, 108.751999, 486.0)","[(30.774798, 114.213723, 37.0), (31.049, 114.1617, 1859.0), (31.5294, 113.9673, 6005.0), (32.7495, 114.2527, 6698.0), (33.7256, 113.3303, 6614.0), (34.0181, 111.3498, 6129.882352941177), (34.2933, 109.7247, 2741.058823529412), (34.447102, 108.751999, 486.0)]","[261.5284352653513, 625.5027225613976, 716.288071108924, 694.6328503544681, 672.0957427819574, 606.7381308216767, 276.9614545813096]"
5,960.0,1048.0,950.0,1027.0,"(19.9349, 110.459, 22.0)","(24.54400063, 118.1279984, 12.0)","[(19.9349, 110.459, 22.0), (20.8891, 111.9603, 4089.0), (21.6084, 112.2401, 8016.0), (22.2606, 113.6969, 8870.0), (23.0669, 114.9979, 8009.0), (23.9544, 117.0406, 4747.0), (24.54400063, 118.1279984, 12.0)]","[394.32827374005376, 984.6859049256801, 1217.6805652447545, 1236.1632166815052, 1124.1800932706035, 515.3398106482265]"
6,960.0,1058.0,958.0,1059.0,"(39.509945, 116.41092, 30.0)","(31.198104, 121.33426, 2.0)","[(39.509945, 116.41092, 30.0), (37.5496, 117.6794, 4244.166666666666), (35.8747, 118.7057, 8158.333333333333), (34.9572, 117.7649, 8870.0), (34.2601, 118.2703, 8091.090909090909), (32.7383, 119.8297, 4196.545454545455), (31.198104, 121.33426, 2.0)]","[428.55812267388643, 1041.4331876827016, 1248.8785706469575, 1254.9047060866126, 1041.9637362154324, 423.06253576696224]"
7,960.0,1059.0,964.0,1067.0,"(40.08010101, 116.5849991, 40.0)","(31.198104, 121.33426, 2.0)","[(40.08010101, 116.5849991, 40.0), (37.9662, 117.8261, 5087.416666666666), (36.3226, 118.7382, 10266.416666666666), (35.1485, 117.71, 10698.0), (34.3682, 118.1259, 10004.933333333332), (32.8798, 119.6721, 5153.466666666666), (31.198104, 121.33426, 2.0)]","[446.00357550653507, 1110.7384815335574, 1344.915498218313, 1330.1052190960738, 1078.3207603104772, 428.396133405694]"
8,960.0,1059.0,976.0,1081.0,"(28.189199, 113.220001, 66.0)","(30.31252, 104.441284, 438.0)","[(28.189199, 113.220001, 66.0), (28.0569, 113.1017, 4785.0), (28.4966, 111.227, 7096.5), (28.8846, 110.6814, 7156.8125), (28.9936, 110.254, 7084.4375), (29.1194, 109.7525, 7012.0625), (30.3725, 105.0327, 2972.0), (30.31252, 104.441284, 438.0)]","[298.42583156996324, 605.328253176166, 613.6490235426216, 618.1677939663524, 627.5169741533813, 549.4513195916898, 233.35553746824192]"
9,960.0,1061.0,959.0,1057.0,"(23.392401, 113.299004, 8.0)","(31.98779, 116.9769, 63.0)","[(23.392401, 113.299004, 8.0), (23.6466, 114.3016, 5768.0), (24.0321, 114.6421, 8092.0), (24.7491, 115.0409, 8108.0), (26.6671, 115.3137, 8070.0), (28.8287, 116.0212, 7498.0), (31.98779, 116.9769, 63.0)]","[452.791909600991, 938.1197648020533, 969.7519341354557, 961.617947735438, 950.7726325354142, 473.57876373436983]"
