,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
0,1020.0,1070.0,1013.0,1067.0,"(25.053301, 99.168297, 1664.0)","(25.110313, 102.936743, 2093.0)","[(25.053301, 99.168297, 1664.0), (25.0733, 100.1156, 3810.5), (25.0802, 100.4922, 6272.5), (24.5956, 101.4597, 6888.0), (24.6115, 102.0381, 6096.0), (25.1206, 103.1465, 3978.0), (25.110313, 102.936743, 2093.0)]","[261.2930782888618, 652.1524209844093, 809.7736643124672, 807.4725329717435, 655.6919816612653, 267.1337703064414]"
1,1020.0,1083.0,1030.0,1097.0,"(22.608299, 108.171997, 129.0)","(22.639299, 113.810997, -1.0)","[(22.608299, 108.171997, 129.0), (22.6371, 109.7712, 3963.5), (22.8909, 111.2808, 7498.0), (22.9385, 111.5953, 7498.0), (22.9855, 111.9099, 7148.0), (22.4781, 113.2315, 2560.0), (22.639299, 113.810997, -1.0)]","[323.8207637840035, 788.7485525549765, 966.1623029123476, 992.3838267909708, 848.1654454585432, 357.0161328089468]"
2,1020.0,1086.0,1009.0,1066.0,"(28.864815, 115.90271, 43.0)","(31.198104, 121.33426, 2.0)","[(28.864815, 115.90271, 43.0), (29.0663, 116.0727, 3010.0), (29.7665, 117.605, 6123.272727272727), (29.5446, 118.9776, 6888.0), (29.8759, 119.7486, 6064.75), (30.637, 120.6545, 3183.375), (31.198104, 121.33426, 2.0)]","[315.2870247019523, 794.9215257382302, 987.449736900767, 988.7373064811542, 799.7149791067015, 318.79290849003655]"
3,1020.0,1114.0,1008.0,1096.0,"(27.443087, 109.704666, 266.0)","(30.23609, 120.428865, 7.0)","[(27.443087, 109.704666, 266.0), (27.8969, 111.2186, 3275.428571428572), (28.1725, 112.172, 6436.428571428572), (28.2004, 114.8759, 6888.0), (29.0902, 117.7262, 6023.190476190476), (29.8123, 119.4202, 3165.095238095238), (30.23609, 120.428865, 7.0)]","[384.06355781029634, 967.2145237281985, 1203.0498427578623, 1178.55059070524, 930.5579948085258, 371.9062809432456]"
4,1020.0,1120.0,1047.0,1152.0,"(25.110313, 102.936743, 2093.0)","(22.639299, 113.810997, -1.0)","[(25.110313, 102.936743, 2093.0), (24.8118, 102.9951, 4915.0), (24.405, 103.6245, 8291.0), (24.1308, 105.2671, 8740.838709677419), (23.7966, 107.4545, 8519.41935483871), (23.2116, 110.8015, 8298.0), (22.4792, 113.1536, 3292.0), (22.639299, 113.810997, -1.0)]","[299.7634722166946, 709.8459887770965, 828.3622657817157, 827.1351351438545, 808.2864085463092, 676.3698649762474, 276.93884235247924]"
5,1020.0,1121.0,1020.0,1123.0,"(24.4011, 98.5317, 880.0)","(29.712254, 106.651895, 417.0)","[(24.4011, 98.5317, 880.0), (24.9889, 99.3602, 4729.2307692307695), (25.5171, 100.117, 8278.461538461539), (25.3466, 102.7656, 8870.0), (28.6171, 105.5901, 8197.0), (29.1288, 106.0742, 4797.0), (29.712254, 106.651895, 417.0)]","[334.0753043076842, 841.5897825112943, 1041.184608429945, 851.3636797697643, 554.3227817573503, 236.62923221392091]"
6,1020.0,1122.0,1009.0,1106.0,"(30.554132, 111.482563, 195.0)","(22.006399, 113.375999, 0.0)","[(30.554132, 111.482563, 195.0), (29.2433, 111.7815, 4149.0), (28.5986, 112.2664, 7803.0), (27.8425, 112.7848, 7803.0), (27.1004, 113.2848, 7803.0), (25.7762, 113.7516, 7102.0), (22.7105, 113.0181, 3162.0), (22.006399, 113.375999, 0.0)]","[339.04568039207794, 828.8052398364498, 996.9124490372352, 1014.3057791857269, 985.9271878908194, 779.9535413955228, 301.17924309756694]"
7,1020.0,1126.0,1016.0,1120.0,"(29.712254, 106.651895, 417.0)","(38.280701, 114.696999, 71.0)","[(29.712254, 106.651895, 417.0), (30.9013, 107.6364, 6254.25), (31.0941, 107.5922, 9144.0), (33.1978, 109.5026, 9266.0), (35.3058, 111.5498, 9266.0), (36.4387, 112.7094, 5030.285714285715), (38.280701, 114.696999, 71.0)]","[612.4281427075317, 1374.203776475543, 1392.0980925413648, 1085.4559432481244, 807.2146311268457, 352.0811466520749]"
8,1020.0,1130.0,1000.0,1114.0,"(35.052918, 118.411828, 61.0)","(34.447102, 108.751999, 486.0)","[(35.052918, 118.411828, 61.0), (34.9661, 115.9342, 3097.4848484848485), (35.9032, 113.7898, 6005.0), (35.5549, 112.576, 6005.0), (35.1687, 111.1829, 6005.0), (34.2182, 108.8653, 2461.0), (34.447102, 108.751999, 486.0)]","[309.794157022865, 747.8646742426457, 828.370910695676, 714.9168668039488, 550.3516339660108, 225.7351606379576]"
9,1020.0,1132.0,1006.0,1119.0,"(32.982696, 112.617467, 127.0)","(23.392401, 113.299004, 8.0)","[(32.982696, 112.617467, 127.0), (30.8448, 112.7788, 4741.923076923077), (29.2013, 112.8997, 9056.846153846154), (26.8486, 112.0357, 8793.0), (24.7095, 113.0957, 9792.0), (23.2411, 112.9936, 1904.75), (23.392401, 113.299004, 8.0)]","[334.90379682784214, 808.0316902542642, 995.9793146867515, 960.109396242503, 658.6544180111221, 221.3964430289486]"
10,1020.0,1135.0,1020.0,1128.0,"(30.31252, 104.441284, 438.0)","(36.857201, 117.216003, 22.0)","[(30.31252, 104.441284, 438.0), (30.7445, 104.68, 5060.0), (31.3525, 105.5549, 9159.0), (32.2174, 107.1098, 9479.0), (33.6128, 109.8174, 9438.555555555557), (35.6992, 113.8102, 9091.0), (36.5541, 116.2764, 4789.652173913044), (36.857201, 117.216003, 22.0)]","[357.9502884167944, 847.819334811913, 983.30674, 972.766776311708, 963.1141842645136, 792.7829045340956, 309.3489195037733]"
11,1020.0,1138.0,1020.0,1135.0,"(29.82670021, 121.461998, 6.0)","(23.392401, 113.299004, 8.0)","[(29.82670021, 121.461998, 6.0), (29.51, 119.4872, 6614.0), (28.3452, 118.0871, 8134.8), (27.6438, 116.9851, 8405.0), (26.682, 115.8414, 8412.0), (25.8534, 114.9745, 8057.555555555556), (23.4691, 113.4244, 2306.333333333333), (23.392401, 113.299004, 8.0)]","[340.3415504921585, 708.4994777072337, 742.8608842473075, 753.4965577001875, 760.2233939011543, 645.6853721009086, 264.2555788677096]"
12,1020.0,1146.0,1022.0,1145.0,"(29.298001, 90.911951, 3570.0)","(29.712254, 106.651895, 417.0)","[(29.298001, 90.911951, 3570.0), (29.5859, 94.9821, 7027.75), (29.7312, 98.4041, 10185.5), (29.7616, 99.6213, 11300.0), (30.4674, 102.5114, 10142.0), (30.6429, 104.8019, 7536.0), (29.712254, 106.651895, 417.0)]","[456.49273475456357, 1151.8609958086397, 991.4359015952266, 1041.4544551994031, 1009.05618, 731.4755348728332]"
13,1020.0,1149.0,1018.0,1158.0,"(40.061614, 113.480032, 1046.0)","(31.1434, 121.805, 5.0)","[(40.061614, 113.480032, 1046.0), (38.1474, 115.48, 5710.266666666666), (36.5626, 117.0334, 10074.533333333333), (34.3062, 113.7018, 10698.0), (33.4104, 115.6377, 10698.0), (32.5032, 118.2365, 10698.0), (31.1428, 121.7924, 2693.5714285714284), (31.1434, 121.805, 5.0)]","[370.34033196516566, 906.9716137285687, 1065.3581235694755, 1056.398340614528, 941.3659538742849, 733.1265806541658, 319.4321255883364]"
14,1020.0,1150.0,1012.0,1151.0,"(31.49440002, 120.4290009, 6.0)","(22.639299, 113.810997, -1.0)","[(31.49440002, 120.4290009, 6.0), (30.0248, 119.7792, 7193.0), (28.3701, 119.5764, 10135.0), (26.4859, 119.551, 10386.0), (25.2918, 118.8585, 10394.0), (24.4067, 117.6886, 10051.0), (22.7917, 114.8286, 4275.0), (22.639299, 113.810997, -1.0)]","[371.02175013779316, 752.4609576228678, 790.9254155205224, 774.8985580631663, 708.3870996151385, 619.4380407268123, 276.4632911393923]"
15,1020.0,1157.0,1015.0,1166.0,"(34.447102, 108.751999, 486.0)","(24.54400063, 118.1279984, 12.0)","[(34.447102, 108.751999, 486.0), (33.7709, 108.8396, 7498.0), (32.5673, 110.1106, 8001.066666666667), (31.2687, 111.5317, 8549.866666666667), (30.8277, 114.3423, 8870.0), (30.1533, 115.2636, 8141.428571428572), (25.8761, 117.9407, 5281.0), (24.54400063, 118.1279984, 12.0)]","[344.7572394126611, 724.2025788894298, 801.3659035218324, 981.6974, 817.3446784784766, 644.6120985674104, 269.0097555992017]"
16,1020.0,1164.0,1009.0,1140.0,"(25.934669, 119.66318, 4.0)","(34.447102, 108.751999, 486.0)","[(25.934669, 119.66318, 4.0), (26.1858, 119.6062, 3543.0), (26.3712, 118.8286, 7049.0), (28.6543, 117.4359, 7193.0), (31.2607, 114.203, 7803.0), (33.449, 110.9347, 7113.166666666667), (34.1968, 108.9328, 3056.0), (34.447102, 108.751999, 486.0)]","[302.0008028225842, 688.4319376170737, 815.889265690046, 815.0774355749317, 674.1437275910589, 525.5788165251103, 237.05439361342633]"
17,1020.0,1167.0,1022.0,1156.0,"(18.3029, 109.412003, 29.0)","(30.23609, 120.428865, 7.0)","[(18.3029, 109.412003, 29.0), (20.9116, 110.6127, 9073.0), (22.1867, 111.5711, 10051.0), (22.9745, 112.6755, 10698.0), (23.3185, 114.0441, 10698.0), (24.9302, 114.9086, 10447.0), (27.4665, 116.9395, 8108.0), (30.23609, 120.428865, 7.0)]","[554.0607048371985, 1118.72544230286, 1138.2766274615888, 1132.3118591080784, 1105.470401517281, 1138.2766274615888, 591.5061950564589]"
18,1020.0,1170.0,1029.0,1181.0,"(43.996201, 125.684998, 208.0)","(31.98779, 116.9769, 63.0)","[(43.996201, 125.684998, 208.0), (42.635, 124.5116, 5384.909090909091), (41.9279, 124.4809, 10005.0), (39.7514, 122.684, 10390.8), (36.7788, 120.0817, 10390.976744186046), (33.671, 118.029, 10409.0), (32.6165, 117.3711, 5650.368421052632), (31.98779, 116.9769, 63.0)]","[410.46589540312755, 971.73742155836, 1020.8260286049382, 825.9683205641304, 626.4636097276095, 481.80853368592324, 221.7587420727384]"
19,1020.0,1174.0,1043.0,1190.0,"(19.9349, 110.459, 22.0)","(34.447102, 108.751999, 486.0)","[(19.9349, 110.459, 22.0), (22.6527, 108.2056, 8412.0), (26.0724, 107.8298, 9008.264705882351), (27.7102, 107.9982, 9353.470588235294), (30.8478, 107.3807, 9479.0), (32.2509, 107.9965, 9479.0), (34.1302, 108.7987, 3703.0), (34.447102, 108.751999, 486.0)]","[451.55772216191195, 908.2352613353139, 917.8159090102803, 981.6362022525174, 954.5030396642667, 689.9453665655892, 255.94015931696154]"
20,1020.0,1179.0,1023.0,1177.0,"(25.110313, 102.936743, 2093.0)","(36.857201, 117.216003, 22.0)","[(25.110313, 102.936743, 2093.0), (25.4062, 102.7852, 6607.0), (26.8169, 103.4708, 10142.0), (28.8233, 104.2866, 10698.0), (30.5919, 104.533, 10698.0), (31.8486, 106.5885, 10074.0), (34.3415, 111.3268, 9481.758620689656), (36.857201, 117.216003, 22.0)]","[398.6928717173031, 910.040682904396, 956.6868687786059, 969.888619497722, 1068.4616915337879, 1000.2603044827587, 550.133644334289]"
21,1020.0,1184.0,1010.0,1183.0,"(30.23609, 120.428865, 7.0)","(22.608299, 108.171997, 129.0)","[(30.23609, 120.428865, 7.0), (28.9102, 117.1114, 8412.0), (28.3671, 114.8607, 9167.0), (28.1436, 113.227, 9174.0), (27.1437, 111.4029, 9174.0), (24.4346, 109.4392, 9174.0), (23.4418, 108.7453, 5031.631578947368), (22.608299, 108.171997, 129.0)]","[412.6912815848025, 813.2719838002992, 810.4772347150748, 808.5975463054234, 669.5854213631416, 493.83758777138604, 222.95318021408997]"
22,1020.0,1200.0,1011.0,1190.0,"(27.912201, 120.851997, 5.0)","(25.110313, 102.936743, 2093.0)","[(27.912201, 120.851997, 5.0), (27.8786, 117.4284, 6614.0), (28.5531, 114.9952, 9121.0), (28.2422, 114.1976, 9174.0), (28.1895, 113.1948, 9174.0), (28.1993, 112.1858, 9174.0), (27.6501, 110.2786, 9013.578947368422), (26.2644, 104.495, 7475.0), (25.110313, 102.936743, 2093.0)]","[382.2594708765948, 780.6355821523808, 823.3106299699579, 854.7872609843411, 858.7218398611388, 859.7572553550331, 831.2315584982483, 400.34340071418507]"
23,1020.0,1215.0,1029.0,1230.0,"(25.110313, 102.936743, 2093.0)","(40.08010101, 116.5849991, 40.0)","[(25.110313, 102.936743, 2093.0), (25.1712, 102.5342, 4953.0), (26.5001, 103.2935, 9190.0), (29.4836, 104.2977, 9479.0), (31.8897, 106.7257, 9479.0), (36.4281, 111.0882, 9163.222222222224), (40.2684, 115.1497, 9495.0), (40.0801, 116.5846, 5186.764705882353), (40.08010101, 116.5849991, 40.0)]","[262.1806099208994, 629.7740423873153, 733.8354184899403, 778.4331511053509, 804.3358745940998, 629.6590707321367, 414.38138775584736, 176.86702653598388]"
24,1020.0,1237.0,1023.0,1231.0,"(43.996201, 125.684998, 208.0)","(24.54400063, 118.1279984, 12.0)","[(43.996201, 125.684998, 208.0), (42.8332, 125.1068, 5682.444444444444), (42.1445, 124.6795, 10108.0), (38.8444, 123.9039, 10698.0), (36.7634, 123.3555, 10698.0), (33.1213, 122.2103, 10923.857142857143), (28.6068, 122.1211, 10234.0), (26.4227, 119.5327, 7193.0), (24.54400063, 118.1279984, 12.0)]","[306.9611164488754, 737.5895199286382, 840.991940913419, 829.17076905319, 879.3504373578348, 860.7743101489039, 774.286756844985, 374.0556524343821]"
