,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
0,600.0,655.0,588.0,647.0,"(26.54, 101.79852, 1968.0)","(30.558257, 103.945966, 490.0)","[(26.54, 101.79852, 1968.0), (27.189, 102.1322, 5546.666666666666), (26.8161, 102.803, 8054.0), (27.2055, 103.5314, 8870.0), (27.6426, 103.9208, 8870.0), (28.1188, 104.1722, 8131.0), (30.1071, 104.0318, 3117.0), (30.558257, 103.945966, 490.0)]","[425.00493403713324, 873.6534007245177, 981.5259558563085, 983.30674, 1003.8724312085537, 733.1362875178908, 246.67070869593746]"
1,600.0,671.0,590.0,660.0,"(24.7964, 118.589996, 8.0)","(23.392401, 113.299004, 8.0)","[(24.7964, 118.589996, 8.0), (24.3267, 117.9373, 6622.0), (23.9077, 116.6924, 7243.0), (23.5868, 115.6783, 7803.0), (23.4468, 115.2894, 7803.0), (23.3515, 114.9436, 7170.0), (23.2209, 113.6961, 2949.0), (23.392401, 113.299004, 8.0)]","[320.28376708202427, 658.7242103024853, 674.3389517815409, 672.1601506449285, 654.3666080292604, 550.5104205174023, 232.4054545719904]"
2,600.0,673.0,600.0,676.0,"(25.649401, 100.319, 2151.0)","(30.31252, 104.441284, 438.0)","[(25.649401, 100.319, 2151.0), (26.5423, 101.0734, 5691.461538461539), (26.8969, 101.1951, 9472.0), (27.339, 101.5995, 9482.0), (27.8093, 102.5655, 9472.0), (28.0275, 103.0519, 9395.0), (29.8016, 104.5117, 2766.0), (30.31252, 104.441284, 438.0)]","[324.25218931401264, 840.7116298083852, 1032.9188809887448, 1029.4872567994137, 1023.4819144680837, 714.6357374282596, 204.18163926521703]"
3,600.0,678.0,607.0,684.0,"(24.54400063, 118.1279984, 12.0)","(31.198104, 121.33426, 2.0)","[(24.54400063, 118.1279984, 12.0), (24.9514, 118.215, 3406.0), (25.3136, 118.5643, 6241.0), (26.6783, 119.8695, 6888.0), (29.2024, 120.7456, 6035.714285714285), (30.1496, 121.0229, 3052.7142857142853), (31.198104, 121.33426, 2.0)]","[381.2933473687416, 854.5569493791895, 963.7716267662161, 908.7537065787666, 704.2841225985442, 286.0384407755455]"
4,600.0,691.0,616.0,712.0,"(34.447102, 108.751999, 486.0)","(26.541466, 106.803331, 1127.0)","[(34.447102, 108.751999, 486.0), (33.6435, 108.8871, 6462.0), (31.6995, 107.5454, 9121.0), (31.0096, 107.2229, 9174.0), (29.5906, 106.872, 9167.0), (27.9, 106.832, 5297.0), (26.541466, 106.803331, 1127.0)]","[409.6541188577761, 812.0254978247473, 813.8461827974486, 847.5288547924213, 721.752096100698, 285.6980451387542]"
5,600.0,693.0,620.0,707.0,"(41.639801, 123.483002, 55.0)","(38.280701, 114.696999, 71.0)","[(41.639801, 123.483002, 55.0), (41.6824, 123.0932, 4001.0), (41.7386, 122.77, 6515.0), (40.7148, 120.1481, 6515.0), (39.6805, 117.7142, 6191.631578947368), (39.0301, 116.2762, 3281.315789473684), (38.280701, 114.696999, 71.0)]","[459.93363978510075, 996.7742160588577, 974.812611413857, 777.0755291465431, 622.5934336252042, 283.48993961876107]"
6,600.0,693.0,603.0,697.0,"(38.322758, 106.393214, 1139.0)","(40.08010101, 116.5849991, 40.0)","[(38.322758, 106.393214, 1139.0), (38.7863, 108.5972, 5057.0), (39.1326, 110.411, 9077.0), (40.6247, 111.872, 9479.0), (40.3923, 114.0993, 9479.0), (40.1813, 115.8263, 4909.5), (40.08010101, 116.5849991, 40.0)]","[368.5373575086168, 917.7249330664972, 1119.4362253715467, 960.1647364638372, 654.98655264869, 265.0704659985195]"
7,600.0,695.0,586.0,680.0,"(30.774798, 114.213723, 37.0)","(24.54400063, 118.1279984, 12.0)","[(30.774798, 114.213723, 37.0), (30.8318, 114.2877, 1021.0), (30.5882, 114.8438, 6172.0), (28.8443, 115.7488, 6888.0), (27.6601, 116.5511, 6888.0), (25.9091, 117.9091, 6264.0), (24.7909, 117.9941, 3513.0), (24.54400063, 118.1279984, 12.0)]","[145.99003990511133, 442.7679144539996, 638.7920994909097, 671.4420273228678, 600.8459047396451, 466.75688814732774, 195.33878578852924]"
8,600.0,700.0,587.0,697.0,"(29.030357, 105.468407, 328.0)","(23.392401, 113.299004, 8.0)","[(29.030357, 105.468407, 328.0), (28.6322, 105.7463, 2986.0), (28.4647, 105.6314, 6523.0), (26.6541, 108.5178, 6523.0), (24.9332, 111.0998, 6114.272727272727), (22.9838, 113.1642, 1433.0), (23.392401, 113.299004, 8.0)]","[302.4152809807972, 768.027243521881, 849.0697589432788, 681.027146386461, 537.3648872744777, 239.7955372902117]"
9,600.0,700.0,591.0,692.0,"(29.712254, 106.651895, 417.0)","(22.006399, 113.375999, 0.0)","[(29.712254, 106.651895, 417.0), (27.1621, 109.0061, 4362.0), (25.0596, 110.8454, 8007.0), (24.976, 110.9168, 8209.5), (24.0976, 111.2997, 8412.0), (22.6208, 112.7842, 3856.0), (22.006399, 113.375999, 0.0)]","[405.23308748742215, 995.5242937164685, 1190.8634190548496, 1211.4254322483634, 1093.167827036126, 482.31460761356584]"
